INFO 2021-11-22 00:55:04,220 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,228 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:55:04,249 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,250 basehttp 161 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,251 basehttp 161 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,251 basehttp 161 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,252 basehttp 161 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,252 basehttp 161 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,269 basehttp 161 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 0
INFO 2021-11-22 00:55:09,398 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:55:09,422 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:55:10,043 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:55:10,067 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:55:24,621 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:55:24,672 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:55:47,017 autoreload 251 D:\PythonProjects\djangoProject\luffyapi\luffyapi\apps\home\adminx.py changed, reloading.
INFO 2021-11-22 00:55:48,843 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:56:13,516 autoreload 251 D:\PythonProjects\djangoProject\luffyapi\luffyapi\apps\home\adminx.py changed, reloading.
INFO 2021-11-22 00:56:15,330 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 01:00:45,463 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 01:00:52,448 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 01:00:52,500 basehttp 161 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,502 basehttp 161 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,507 basehttp 161 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,509 basehttp 161 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,512 basehttp 161 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,516 basehttp 161 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,521 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,522 basehttp 161 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,523 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,525 basehttp 161 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2021-11-22 01:00:52,529 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
